iso3_country,sector,subsector,start_time,end_time,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
CHN,manufacturing,food-beverage-tobacco,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,48618378.74202746,,annual,,
CHN,manufacturing,food-beverage-tobacco,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,4035378.796249804,,annual,,
CHN,manufacturing,glass,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,2376512.183121894,,annual,,
CHN,manufacturing,glass,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,2298374.025005748,,annual,,
CHN,manufacturing,glass,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,2196006.164413699,,annual,,
CHN,manufacturing,glass,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,2133440.91419262,,annual,,
CHN,manufacturing,glass,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,2087170.206489654,,annual,,
CHN,manufacturing,glass,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,2166471.1518463725,,annual,,
CHN,manufacturing,glass,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,2153009.2214886174,,annual,,
CHN,manufacturing,glass,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,1992750.6391913365,,annual,,
CHN,manufacturing,glass,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,1928032.2724533556,,annual,,
CHN,manufacturing,glass,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,1946036.932138915,,annual,,
CHN,manufacturing,glass,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,162887.29387086083,,annual,,
CHN,manufacturing,iron-and-steel,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,1841000863.9623957,,annual,,
CHN,manufacturing,iron-and-steel,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,1843501092.962345,,annual,,
CHN,manufacturing,iron-and-steel,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,1928910498.9606004,,annual,,
CHN,manufacturing,iron-and-steel,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,2022684899.958685,,annual,,
CHN,manufacturing,iron-and-steel,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,2185590732.9553576,,annual,,
CHN,manufacturing,iron-and-steel,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,2369527632.9516,,annual,,
CHN,manufacturing,iron-and-steel,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,2300104512.0,,annual,,
CHN,manufacturing,iron-and-steel,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,2260626220.0,,annual,,
CHN,manufacturing,iron-and-steel,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,2241391578.0,,annual,,
CHN,manufacturing,iron-and-steel,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,2241391578.0,,annual,,
CHN,manufacturing,iron-and-steel,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,181793232.61743945,,annual,,
CHN,manufacturing,lime,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,326580118.74920946,,annual,,
CHN,manufacturing,lime,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,364891932.9645521,,annual,,
CHN,manufacturing,lime,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,347155993.244435,,annual,,
CHN,manufacturing,lime,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,347402331.2345231,,annual,,
CHN,manufacturing,lime,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,349593872.669485,,annual,,
CHN,manufacturing,lime,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,355100025.1029084,,annual,,
CHN,manufacturing,lime,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,355495307.7611953,,annual,,
CHN,manufacturing,lime,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,367168472.6071973,,annual,,
CHN,manufacturing,lime,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,371994735.7257808,,annual,,
CHN,manufacturing,lime,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,371993107.4657672,,annual,,
CHN,manufacturing,lime,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,30611129.281738367,,annual,,
CHN,manufacturing,other-chemicals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,293779516.0821873,,annual,,
CHN,manufacturing,other-chemicals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,235843986.18886647,,annual,,
CHN,manufacturing,other-chemicals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,222053889.3265617,,annual,,
CHN,manufacturing,other-chemicals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,257629270.0612128,,annual,,
CHN,manufacturing,other-chemicals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,238592254.2754444,,annual,,
CHN,manufacturing,other-chemicals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,253613078.788116,,annual,,
CHN,manufacturing,other-chemicals,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,232652367.05482617,,annual,,
CHN,manufacturing,other-chemicals,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,234397777.7867881,,annual,,
CHN,manufacturing,other-chemicals,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,252776638.461968,,annual,,
CHN,manufacturing,other-chemicals,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,252776638.46196795,,annual,,
CHN,manufacturing,other-chemicals,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,20983698.607474487,,annual,,
CHN,manufacturing,other-manufacturing,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,488403870.5057072,,annual,,
CHN,manufacturing,other-manufacturing,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,471601348.7514724,,annual,,
CHN,manufacturing,other-manufacturing,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,424432935.561622,,annual,,
CHN,manufacturing,other-manufacturing,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,462433701.7105117,,annual,,
CHN,manufacturing,other-manufacturing,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,461235528.5181902,,annual,,
CHN,manufacturing,other-manufacturing,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,540422392.448233,,annual,,
CHN,manufacturing,other-manufacturing,2021-01-01 00:00:00,2021-12-31 00:00:00,co2e_100yr,545772504.0103651,,annual,,
CHN,manufacturing,other-manufacturing,2022-01-01 00:00:00,2022-12-31 00:00:00,co2e_100yr,555993119.7546318,,annual,,
CHN,manufacturing,other-manufacturing,2023-01-01 00:00:00,2023-12-31 00:00:00,co2e_100yr,555845530.942011,,annual,,
CHN,manufacturing,other-manufacturing,2024-01-01 00:00:00,2024-12-31 00:00:00,co2e_100yr,555834011.3976815,,annual,,
CHN,manufacturing,other-manufacturing,2025-01-01 00:00:00,2025-12-31 00:00:00,co2e_100yr,45525055.638172105,,annual,,
CHN,manufacturing,other-metals,2015-01-01 00:00:00,2015-12-31 00:00:00,co2e_100yr,10026833.81405117,,annual,,
CHN,manufacturing,other-metals,2016-01-01 00:00:00,2016-12-31 00:00:00,co2e_100yr,9576116.374864092,,annual,,
CHN,manufacturing,other-metals,2017-01-01 00:00:00,2017-12-31 00:00:00,co2e_100yr,9361403.345815469,,annual,,
CHN,manufacturing,other-metals,2018-01-01 00:00:00,2018-12-31 00:00:00,co2e_100yr,9754978.015367804,,annual,,
CHN,manufacturing,other-metals,2019-01-01 00:00:00,2019-12-31 00:00:00,co2e_100yr,9869000.647454737,,annual,,
CHN,manufacturing,other-metals,2020-01-01 00:00:00,2020-12-31 00:00:00,co2e_100yr,9124744.964005245,,annual,,
